time,users,connected 
0,88,78 
10,184,100 
20,274,92 
30,377,104 
40,483,104 
50,529,34 
60,529,-59 
70,529,7 
80,529,4 
90,529,-7 
100,529,-25 
110,529,1 
120,529,54 
130,557,68 
140,652,97 
150,724,70 
160,803,81 
170,871,65 
180,983,112 
190,1059,79 
200,1060,-37 
210,1060,-69 
220,1060,-79 
230,1060,-114 
240,1060,-117 
250,1060,-88 
260,1060,-64 
270,1060,-46 
280,1060,-53 
290,1060,-47 
300,1060,-56 
310,1060,-49 
320,1060,-46 
330,1060,-38 
340,1060,-33 
350,1060,-32 
360,1060,-26 
370,1060,-31 
380,1060,-16 
390,1060,-6 
400,1060,-7 
410,1060,-2 
420,1060,-2 
430,1060,0 
440,1060,0 
450,1060,78 
460,1060,180 
470,1060,154 
480,1060,135 
490,1060,187 
500,1060,184 
510,1117,193 
520,1306,184 
530,1455,158 
540,1570,113 
550,1614,37 
560,1620,-6 
570,1620,-8 
580,1620,-3 
590,1620,-16 
600,1620,-48 
610,1620,-20 
620,1620,-39 
630,1620,-46 
640,1620,-9 
650,1620,-168 
660,1620,-200 
670,1620,-162 
680,1620,-168 
690,1620,-127 
700,1620,-74 
710,1620,-47 
720,1620,-54 
730,1620,-38 
740,1620,-31 
750,1620,-37 
760,1620,-37 
770,1620,-36 
780,1620,-38 
790,1620,-47 
800,1620,-60 
810,1620,-61 
820,1620,-19 
830,1620,-4 
840,1620,129 
850,1620,402 
860,1620,294 
870,1620,277 
880,1620,293 
890,1721,316 
900,2051,335 
910,2327,278 
920,2625,296 
930,2927,304 
940,3227,300 
950,3510,284 
960,3811,298 
970,4070,263 
