time,502,200,500,302 
180,308,34794,850,12306 
190,1560,35576,1184,12597 
200,3700,36330,1467,12954 
210,6336,36995,1710,13283 
220,8917,37625,1917,13612 
230,11265,38173,2083,13990 
240,13296,38650,2239,14273 
250,14888,39057,2357,14499 
260,16266,39434,2466,14708 
270,17663,39761,2544,14913 
280,18862,40067,2616,15118 
290,19877,40309,2681,15311 
300,20745,40551,2729,15498 
310,21270,40754,2773,15702 
320,21539,40948,2806,15876 
330,21612,41111,2828,16096 
340,21616,41258,2846,16258 
350,21617,41372,2861,16406 
360,21617,41472,2868,16524 
370,21617,41550,2875,16615 
380,21617,41590,2879,16659 
390,21617,41614,2881,16681 
400,21617,41635,2881,16706 
410,21617,41649,2881,16717 
420,21617,41655,2881,16725 
430,21617,41657,2881,16725 
440,21617,41660,2881,16727 
450,21617,41915,2881,16776 
460,21617,43739,2881,17240 
470,21617,46931,2881,18175 
480,21617,50662,2881,19365 
490,21617,52626,2881,19980 
500,21617,53906,2934,20356 
510,21617,55015,3216,20677 
520,22805,56002,3707,20989 
530,26681,56826,4155,21301 
540,32656,57633,4542,21639 
550,40712,58416,4822,22078 
560,48959,59181,5098,22573 
570,56787,59923,5347,23055 
580,65049,60640,5574,23549 
590,73605,61314,5805,24033 
600,82081,62029,5991,24569 
610,90169,62735,6121,25194 
620,97949,63440,6249,25795 
630,105290,64137,6375,26365 
640,112496,64789,6508,26957 
650,118919,65496,6619,27538 
660,124046,66078,6751,28039 
670,128420,66582,6860,28479 
680,131922,66988,6950,28861 
690,134508,67349,7030,29214 
700,136009,67706,7090,29533 
710,136861,68083,7133,29883 
720,137319,68458,7185,30220 
730,137397,68877,7234,30560 
740,137398,69239,7278,30852 
750,137398,69618,7339,31118 
760,137398,69984,7376,31366 
770,137398,70331,7399,31651 
780,137398,70697,7413,31904 
790,137398,71052,7418,32213 
800,137398,71395,7418,32503 
810,137398,71621,7418,32731 
820,137398,71700,7418,32824 
830,137398,71713,7418,32842 
840,137398,72124,7418,32911 
850,137398,75624,7418,33809 
860,137398,81057,7418,35440 
870,137398,86943,7418,37249 
880,137398,92985,7418,39146 
890,137398,98774,7418,40919 
900,137398,104752,7422,42722 
910,137398,110795,7446,44527 
920,137398,117017,7494,46481 
930,137398,123211,7634,48522 
940,137398,129483,7850,50620 
950,137398,135683,8070,52717 
960,137398,141831,8460,54783 
970,137398,147809,8958,56877 
