time,session 
50,45550.403000000006 
60,31404.684565217398 
70,27222.280324675332 
80,44768.14273626372 
90,50530.83728695653 
100,50933.367617187476 
110,51051.629929999996 
120,48995.769102040824 
130,51857.82702702703 
140,72926.3824285714 
150,72127.21678947369 
160,83979.39566666666 
170,79398.73933333333 
180,104029.47333333334 
190,104451.82580000002 
200,99828.75206818181 
210,100926.13850704224 
220,96102.50863636361 
230,95716.1872719298 
240,97050.02227350432 
250,103078.30267777773 
260,110808.25799999999 
270,127318.77386956521 
280,143813.69312962957 
290,151783.6371489362 
300,159183.35674999998 
310,158903.29775000006 
320,164485.71473913037 
330,168145.72878947365 
340,184238.32987878792 
350,189634.92509677415 
360,197631.37667857143 
370,200760.30634482758 
380,210265.691 
390,219023.0626666667 
400,221950.07157142856 
410,219184.297 
420,227618.29450000002 
430,0 
440,0 
450,281049.491 
460,9159.238285714286 
470,13134.313576271188 
480,15109.580735632186 
490,19971.198666666663 
500,29093.469466666666 
510,41490.73953846155 
520,48724.261999999995 
530,59702.443390243905 
540,58469.98264864865 
550,57826.40366666671 
560,62139.88508189651 
570,62523.025594059414 
580,63911.416539603924 
590,71427.14021319804 
600,74591.34832365139 
610,73653.00333796297 
620,78209.91052964426 
630,82643.55052800008 
640,80088.63975744678 
650,72996.32537556558 
660,70710.66770854274 
670,72074.22433950614 
680,81809.58996341472 
690,83983.34259375006 
700,95944.57544594593 
710,99935.39071739135 
720,111350.31646296295 
730,116959.35144736839 
740,132926.8792647059 
750,130959.48633333326 
760,144377.32147222228 
770,148249.2175555556 
780,152695.51258974356 
790,159777.74246666668 
800,167136.89175409832 
810,173302.61724590173 
820,180546.95650000003 
830,182798.52724999998 
840,195503.529 
850,9994.971363636361 
860,14156.264038095233 
870,18951.044342857138 
880,25764.12369791667 
890,30312.17642857143 
900,38526.155675324684 
910,44923.49833333334 
920,54208.82811764706 
930,61772.664703296694 
940,68333.87970588235 
950,76391.59974074068 
960,82797.7400555556 
970,91251.88335820899 
