time,session 
0,0 
10,2796.858589667315 
20,4772.514220390432 
30,5237.538028197681 
40,10317.692550527045 
50,16029.402536490381 
60,18848.32660415825 
70,20642.566706109148 
80,23487.9031993368 
90,22472.42376446349 
100,23060.39973489679 
110,21596.954683715994 
120,21351.235151990877 
130,23903.25737560885 
140,22506.61579290064 
150,23332.635993480413 
160,22123.424188617882 
170,20981.67279136592 
180,25534.530188857276 
190,24496.61212136908 
200,22365.680769872484 
210,16920.914402247996 
220,13291.945375665462 
230,11899.193912017678 
240,9853.5235508505 
250,7200.20050830904 
260,5463.440496844448 
270,1597.6147282450725 
280,0.0 
290,1777.9099339034979 
300,4015.352049850372 
310,6074.955414218672 
320,6977.855963716047 
330,12779.302149958161 
340,17441.49807736726 
350,19918.046872223767 
360,22365.885331544174 
370,22940.181024721063 
380,22558.990810533098 
390,21738.998315775763 
400,23216.69362564075 
410,23553.05001215502 
420,22682.29430866271 
430,22858.335893094925 
440,22291.824425311665 
450,22504.738874399598 
460,22141.260362198595 
470,22990.623191828385 
480,24229.18467717969 
490,22360.488350796168 
500,17130.077546991026 
510,13104.743775913983 
520,10931.037522037908 
530,9188.771248221214 
540,7772.410408596732 
550,6641.34562944277 
560,5227.581900602126 
570,8195.305059632541 
580,1435.161746065201 
590,2880.5209631253847 
600,4274.465565044887 
610,5121.77904094481 
620,6326.412185544476 
630,8154.889634247376 
640,10018.141971959685 
650,13852.191335377709 
660,15759.991969843059 
670,17462.372711048603 
680,18259.850647938612 
690,19915.154849969265 
700,21711.10763608789 
710,21837.376422168338 
720,23498.34017473468 
730,24354.23513881757 
740,25959.760373575493 
750,27539.063473851467 
760,27275.70417312883 
770,29793.058625378188 
780,29915.5150215185 
790,31962.16438384125 
800,34031.53919388477 
810,35110.66538950939 
820,36066.246924314284 
830,38734.32525269538 
840,41911.27665623344 
850,44780.21366137892 
860,48952.09041537164 
870,51001.65813801767 
880,49839.82947780893 
890,26248.487531361596 
900,17903.409925614993 
910,20406.38811389327 
920,18201.69516823078 
930,14493.659818963315 
940,14705.24163192635 
950,8053.305556684273 
960,0 
970,0.0 
980,790.0874999999987 
990,2963.1505922899396 
1000,2158.98998990601 
1010,2529.0975205990926 
1020,3176.4094280208724 
1030,3022.4727661551715 
1040,3437.9108172251135 
1050,5214.306567895162 
1060,10647.663474524654 
1070,17558.522478758052 
1080,21891.26194998073 
1090,23800.96264337536 
1100,27339.726421701656 
1110,34230.56436402056 
1120,40444.163335438454 
1130,46332.05378147657 
1140,49989.32671462661 
1150,51189.54767377517 
1160,52164.93929798013 
1170,50084.63978054451 
1180,50989.50074293136 
1190,51603.707684869 
1200,48384.38796114572 
1210,49125.076531629835 
1220,47327.59428581041 
1230,45293.802798488665 
1240,42511.32917849244 
1250,41590.77638836479 
1260,37352.90265176984 
1270,24205.24484744754 
1280,18111.988240583498 
1290,15824.356044798653 
1300,13541.557957606332 
1310,12010.376764890063 
1320,14593.04304273285 
1330,9837.358114948982 
1340,0 
1350,0 
1360,0 
1370,0 
1380,1969.6109061224163 
1390,10925.837881253701 
1400,14275.995548137078 
1410,16325.697769094259 
1420,17754.026979299608 
1430,20085.320444623885 
1440,24686.712553934623 
1450,30090.044126674537 
1460,34101.578961019484 
1470,36781.83149334951 
1480,38402.77116458169 
1490,38559.829398594375 
1500,38885.17576548681 
1510,37669.03525557147 
1520,37107.88783779693 
1530,35648.894685544445 
1540,33831.73752609939 
1550,34333.96207240515 
1560,33438.99512098433 
1570,32722.458002411833 
1580,30224.21930151365 
1590,31395.03688007851 
1600,30418.020493002663 
1610,29001.33291441108 
1620,27402.533432905704 
1630,27448.77557531945 
1640,24173.061893287762 
1650,18107.29634310321 
1660,14931.233328730967 
1670,12971.449434682301 
1680,11009.744345507557 
1690,9752.486938616143 
1700,6545.980212940031 
1710,9515.96386983796 
1712,0 
