time,users,connected 
0,113,110 
10,213,207 
20,243,240 
30,301,298 
40,353,353 
50,375,375 
60,371,373 
70,352,350 
80,368,367 
90,348,347 
100,330,332 
110,328,328 
120,359,356 
130,368,365 
140,372,373 
150,374,375 
160,364,364 
170,354,353 
180,372,370 
190,363,366 
200,255,256 
210,189,189 
220,137,137 
230,84,84 
240,34,35 
250,12,12 
260,4,5 
270,1,1 
280,84,74 
290,264,258 
300,401,395 
310,483,487 
320,585,581 
330,676,676 
340,725,724 
350,736,739 
360,751,750 
370,794,793 
380,787,792 
390,770,775 
400,775,776 
410,766,764 
420,761,763 
430,746,740 
440,717,716 
450,693,694 
460,724,719 
470,725,726 
480,636,636 
490,469,477 
500,349,356 
510,243,247 
520,153,158 
530,81,85 
540,25,26 
550,9,9 
560,4,4 
570,0,0 
580,347,332 
590,681,674 
600,949,944 
610,1246,1240 
620,1536,1526 
630,1845,1841 
640,2120,2115 
650,2415,2409 
660,2683,2675 
670,2973,2970 
680,3227,3223 
690,3472,3472 
700,3680,3675 
710,3945,3944 
720,4179,4179 
730,4426,4425 
740,4661,4660 
750,4877,4867 
760,5140,5131 
770,5377,5364 
780,5242,5248 
790,5061,5066 
800,4860,4870 
810,4632,4638 
820,4404,4413 
830,4133,4141 
840,3754,3771 
850,3377,3383 
860,2935,2948 
870,2490,2501 
880,2054,2067 
890,1669,1680 
900,1156,1168 
910,520,528 
920,122,124 
930,23,23 
940,4,4 
950,0,0 
960,729,724 
970,1531,1526 
980,2249,2246 
990,2944,2942 
1000,3699,3662 
1010,4476,4447 
1020,5202,5172 
1030,5909,5881 
1040,6636,6613 
1050,7238,7220 
1060,7728,7709 
1070,8105,8093 
1080,8289,8287 
1090,8364,8349 
1100,8396,8390 
1110,8522,8523 
1120,8609,8603 
1130,8701,8701 
1140,8703,8701 
1150,8624,8626 
1160,7989,7996 
1170,7377,7384 
1180,6885,6890 
1190,6445,6452 
1200,6008,6011 
1210,5481,5484 
1220,4947,4949 
1230,4387,4387 
1240,3840,3840 
1250,3315,3338 
1260,2736,2769 
1270,2065,2091 
1280,1190,1219 
1290,466,491 
1300,116,124 
1310,18,20 
1320,3,3 
1330,0,0 
1340,1339,1289 
1350,2822,2789 
1360,4410,4376 
1370,6033,6001 
1380,7594,7557 
1390,9090,9064 
1400,10197,10184 
1410,10507,10511 
1420,10588,10577 
1430,10906,10901 
1440,11271,11274 
1450,11380,11382 
1460,11260,11269 
1470,11042,11042 
1480,10823,10821 
1490,10600,10628 
1500,10580,10570 
1510,10550,10545 
1520,10602,10607 
1530,10752,10753 
1540,9631,9687 
1550,8530,8563 
1560,7695,7723 
1570,7023,7041 
1580,6565,6577 
1590,6142,6162 
1600,5708,5721 
1610,5263,5271 
1620,4827,4844 
1630,4331,4337 
1640,3823,3836 
1650,3239,3250 
1660,2423,2441 
1670,1118,1137 
1680,324,328 
1690,54,57 
1700,5,5 
1710,0,0 
1712,0,0 
