time,session 
0,6068.961 
10,16816.053 
20,23031.997 
30,38149.509 
40,45641.113 
50,55147.133 
60,66560.944 
70,72507.439 
80,79332.434 
90,87057.945 
100,87057.945 
110,87827.81 
120,87827.81 
130,87827.81 
140,90817.195 
150,99288.814 
160,99288.814 
170,109088.376 
180,109088.376 
190,109088.376 
200,109088.376 
210,109088.376 
220,109088.376 
230,109088.376 
240,109088.376 
250,109088.376 
260,109088.376 
270,109088.376 
280,109088.376 
290,109088.376 
300,109088.376 
310,109088.376 
320,109088.376 
330,109088.376 
340,109088.376 
350,109088.376 
360,109088.376 
370,109088.376 
380,109088.376 
390,109088.376 
400,109088.376 
410,109088.376 
420,109088.376 
430,109088.376 
440,109088.376 
450,109088.376 
460,109088.376 
470,109088.376 
480,109088.376 
490,109088.376 
500,109088.376 
510,109088.376 
520,109088.376 
530,109088.376 
540,109088.376 
550,109088.376 
560,109088.376 
570,109088.376 
580,109088.376 
590,109088.376 
600,109088.376 
610,109088.376 
620,109088.376 
630,109088.376 
640,109088.376 
650,109088.376 
660,109088.376 
670,109088.376 
680,109088.376 
690,113854.864 
700,125309.712 
710,125309.712 
720,125376.549 
730,136092.131 
740,136712.861 
750,141055.562 
760,143596.374 
770,151888.952 
780,167195.167 
790,167195.167 
800,176322.154 
810,184460.801 
820,184460.801 
830,185301.343 
840,185301.343 
850,185301.343 
860,185301.343 
870,185301.343 
880,185301.343 
890,185301.343 
900,185301.343 
910,185301.343 
920,185301.343 
930,185301.343 
940,185301.343 
950,185301.343 
960,185301.343 
970,185301.343 
980,185301.343 
990,185301.343 
1000,185301.343 
1010,185301.343 
1020,185301.343 
1030,185301.343 
1040,185301.343 
1050,185301.343 
1060,185301.343 
1070,185301.343 
1080,185301.343 
1090,185301.343 
1100,195497.024 
1110,202616.188 
1120,210112.756 
1130,218978.628 
1140,218978.628 
1150,226678.599 
1160,230676.662 
1170,240248.8 
1180,240620.215 
1190,254498.292 
1200,254498.292 
1210,254498.292 
1220,254498.292 
1230,254498.292 
1240,254498.292 
1250,254498.292 
1260,254498.292 
1270,254498.292 
1280,254498.292 
1290,254498.292 
1300,254498.292 
1310,254498.292 
1320,254498.292 
1330,254498.292 
1340,254498.292 
1350,254498.292 
1360,254498.292 
1370,254498.292 
1380,254498.292 
1390,254498.292 
1400,254498.292 
1410,254498.292 
1420,254498.292 
1430,254498.292 
1440,254498.292 
1450,254498.292 
1460,254498.292 
1470,254498.292 
1480,254498.292 
1490,254498.292 
1500,254498.292 
1510,254498.292 
1520,254498.292 
1530,254498.292 
1540,254498.292 
1550,254498.292 
1560,254498.292 
1570,254498.292 
1580,254498.292 
1590,254498.292 
1600,254498.292 
1610,254498.292 
1620,254498.292 
1630,254498.292 
1640,254498.292 
1650,254498.292 
1660,254498.292 
1662,254498.292 
