time,users,connected 
0,83,78 
10,167,87 
20,235,67 
30,291,57 
40,326,34 
50,341,16 
60,367,23 
70,369,1 
80,369,-19 
90,373,24 
100,375,-15 
110,376,22 
120,389,6 
130,406,3 
140,406,-14 
150,406,6 
160,406,-20 
170,406,5 
180,406,-4 
190,406,-2 
200,406,-68 
210,406,-81 
220,406,-52 
230,406,-52 
240,406,-40 
250,406,-32 
260,406,-23 
270,406,-5 
280,406,-1 
290,406,190 
300,406,140 
310,451,112 
320,542,99 
330,624,77 
340,685,61 
350,705,18 
360,722,19 
370,743,11 
380,759,30 
390,791,12 
400,791,-30 
410,791,-18 
420,791,49 
430,814,41 
440,814,-42 
450,814,-31 
460,814,16 
470,814,9 
480,814,1 
490,814,-187 
500,814,-165 
510,814,-109 
520,814,-100 
530,814,-100 
540,814,-67 
550,814,-19 
560,814,-15 
570,814,154 
580,814,368 
590,814,282 
600,1033,224 
610,1264,229 
620,1512,244 
630,1703,195 
640,1920,217 
650,2100,183 
660,2250,150 
670,2412,153 
680,2526,121 
690,2679,152 
700,2802,125 
710,2965,164 
720,3125,159 
730,3280,155 
740,3460,180 
750,3645,179 
760,3826,179 
770,3892,9 
780,3892,-247 
790,3892,-306 
800,3892,-380 
810,3892,-486 
820,3892,-600 
830,3892,-487 
840,3892,-447 
850,3892,-487 
860,3892,-278 
870,3892,-81 
880,3892,-21 
890,3892,-4 
900,3892,0 
910,3892,676 
920,3892,691 
930,3892,672 
940,3892,686 
950,3892,721 
960,4215,763 
970,4853,640 
980,5559,708 
990,6251,653 
1000,6902,659 
1010,7549,651 
1020,8117,575 
1030,8628,520 
1040,8852,220 
1050,8996,132 
1060,9030,62 
1070,9030,-60 
1080,9030,-52 
1090,9030,19 
1100,9030,-8 
1110,9030,-633 
1120,9030,-577 
1130,9030,-520 
1140,9030,-470 
1150,9030,-578 
1160,9030,-587 
1170,9030,-720 
1180,9030,-711 
1190,9030,-699 
1200,9030,-743 
1210,9030,-800 
1220,9030,-858 
1230,9030,-705 
1240,9030,-256 
1250,9030,-61 
1260,9030,-11 
1270,9030,1250 
1280,9030,1578 
1290,9030,1573 
1300,9030,1546 
1310,9030,1521 
1320,9076,1561 
1330,10313,1253 
1340,11156,853 
1350,11449,307 
1360,11604,159 
1370,11755,127 
1380,11992,255 
1390,12162,148 
1400,12164,-87 
1410,12164,-268 
1420,12164,-373 
1430,12164,-274 
1440,12164,-12 
1450,12164,-118 
1460,12164,118 
1470,12164,-1159 
1480,12164,-1061 
1490,12164,-839 
1500,12164,-632 
1510,12164,-534 
1520,12164,-455 
1530,12164,-513 
1540,12164,-553 
1550,12164,-549 
1560,12164,-515 
1570,12164,-630 
1580,12164,-807 
1590,12164,-1310 
1600,12164,-1005 
1610,12164,-440 
1620,12164,-93 
1630,12164,-14 
1640,12164,-7 
1650,12164,0 
1660,12164,0 
1662,12164,-1 
