time,session 
0,5276.336157894737 
10,9137.010413793107 
20,10396.90981632653 
30,10773.060848484854 
40,11293.854928571422 
50,10402.992698924734 
60,11767.213574074069 
70,10898.556799999995 
80,10643.6572625 
90,10633.401434343437 
100,11537.261160919543 
110,10874.38981250001 
120,11703.067999999997 
130,11818.239241379315 
140,11557.665000000005 
150,10969.82226595745 
160,12091.846952380956 
170,11281.435641304346 
180,10152.019969072166 
190,10745.89655102041 
200,11957.826476190476 
210,19783.377888888896 
220,28056.163333333334 
230,12718.312 
240,6592.462124999998 
250,9926.476277108437 
260,10741.892573684214 
270,10692.848419889511 
280,10656.55515789473 
290,11225.849661904764 
300,11615.872343434343 
310,11824.982627777783 
320,11463.754361386142 
330,11018.985599999998 
340,12176.070440677971 
350,11565.541729166667 
360,11798.167438775501 
370,10957.13966494845 
380,11362.801654639175 
390,12341.422247663566 
400,11457.94999999999 
410,11580.687972972964 
420,11582.971794444435 
430,10992.627272222233 
440,14076.761103448285 
450,22171.710000000003 
460,19236.654833333334 
470,7002.800910958907 
480,10220.872676136358 
490,10855.865751196172 
500,11332.957879518066 
510,11758.686142857132 
520,11419.76458333333 
530,11551.36228608247 
540,11808.218994858607 
550,10473.721103773589 
560,11241.914444155858 
570,11344.322363143616 
580,11064.417765013064 
590,11171.036152230987 
600,11720.629598465472 
610,11641.402208556137 
620,11700.775240932644 
630,10895.624822164944 
640,11339.993406320542 
650,10881.352072681695 
660,11624.955090439276 
670,14545.149853658535 
680,23301.873041666666 
690,30942.826928571427 
700,5109.86763013699 
710,8615.921904847399 
720,10764.854097402605 
730,11251.061231274634 
740,11436.942227446001 
750,11337.782167776313 
760,11027.955021223468 
770,11195.790017811685 
780,11321.982523867815 
790,11106.020762796508 
800,11558.909520702637 
810,11537.208906249985 
820,11590.363371612893 
830,11603.568786649206 
840,11232.228747435882 
850,11387.110685851345 
860,11387.166483103876 
870,11411.843320855587 
880,11110.456621997459 
890,11387.615089195977 
900,12172.039315716249 
910,18048.60878278689 
920,27445.312828571434 
930,21710.866500000004 
940,7098.617105442182 
950,9847.119108679251 
960,11060.460880821915 
970,11187.618865942035 
980,11207.9852971061 
990,11439.246256648128 
1000,11292.501280934355 
1010,11227.924396489068 
1020,11449.160371659438 
1030,11311.102234515904 
1040,11370.311003041352 
