time,200,302 
0,36.4,8.6 
10,60.9,21.5 
20,71.6,30 
30,66.4,29.4 
40,67.7,28.6 
50,72.9,30 
60,71.6,32.3 
70,68.8,31.2 
80,58.7,24.4 
90,76.4,30.6 
100,63.7,27.1 
110,74.7,32 
120,72.3,32.2 
130,71.6,29 
140,68.9,31.4 
150,64.7,28.1 
160,60.4,25.8 
170,63.6,27.5 
180,68.7,28.5 
190,71.3,30.5 
200,30.8,19.8 
210,3.6,5.7 
220,0.6,1.2 
230,20.3,4.2 
240,102.3,30 
250,127.1,51.5 
260,131.1,57.6 
270,133.6,54 
280,145.8,60 
290,142.4,62.8 
300,133.9,58.7 
310,127.4,53.9 
320,144.3,60.9 
330,128.6,56.6 
340,127.6,53.8 
350,134.8,58.5 
360,138.6,59.7 
370,144,59.4 
380,140.2,58.4 
390,142.2,63.2 
400,138.3,61.1 
410,123.5,53.7 
420,130.8,54.3 
430,121.3,54 
440,29.3,30 
450,2.7,4.7 
460,42.4,7.5 
470,228.4,68.5 
480,289.5,112.3 
490,284.2,121.3 
500,287.3,123.3 
510,272.5,123.2 
520,260.7,110.1 
530,273.4,117.2 
540,276.4,117.7 
550,283.1,122.3 
560,262.8,115.3 
570,266.6,111.8 
580,271.4,117.3 
590,271.1,113.9 
600,275.2,118.4 
610,252.9,110.5 
620,279,117.7 
630,289.6,119.9 
640,300.3,130.4 
650,277.2,119.1 
660,234.8,110.7 
670,50,52.2 
680,5.8,9.8 
690,1.4,2.8 
700,285,66.4 
710,533.5,189.4 
720,537.8,232.7 
730,544,231.1 
740,517.6,222.5 
750,538.1,229.2 
760,548.3,235.9 
770,568.5,239.8 
780,575.5,246.6 
790,563.2,242.6 
800,557.9,239.1 
810,525.2,226.3 
820,550.2,235.5 
830,529.3,228.7 
840,565.2,238.1 
850,572.9,248.2 
860,546.5,235.2 
870,541.9,229.9 
880,561.9,241.4 
890,555.5,236.2 
900,275.3,173.8 
910,33.1,50.7 
920,3.8,7.3 
930,155.5,27 
940,870.3,263.4 
950,1038.5,415.6 
960,1086.5,451.5 
970,1144.5,493.5 
980,1127,474.5 
990,1069.8,463 
1000,1116.2,475.9 
1010,1144.5,489.9 
1020,1155,490.6 
1030,1163.6,502.5 
1040,1157.2,492.4 
