time,tr_book_rate_service,page 
0,4701.456000000001,108.47964944649435 
10,8840.436842105264,75.91073552123541 
20,10172.09945918368,65.69480417335475 
30,10981.034686868687,67.32249119718311 
40,11360.287836734697,62.59535888501743 
50,10394.71178125,64.93822275641017 
60,11670.312710280377,64.65493376413566 
70,10973.086927272723,59.53654314720812 
80,10505.96635802469,61.39306212424852 
90,10668.262989898989,61.61159571209804 
100,11662.22131034483,65.49421062271072 
110,10883.406072072068,59.52164622641513 
120,11817.213796296299,62.243372019077874 
130,11486.951677777779,66.60530592105258 
140,11695.492401785703,58.57439932885906 
150,11001.646258064511,64.0241754068715 
160,11697.47834117647,62.69874710424712 
170,11622.29775,62.073236363636376 
180,10158.11192631579,60.2065051194539 
190,10750.180787878793,65.92664191419136 
200,11801.619141176468,40.49632225913623 
210,19532.980785714284,33.23533333333333 
220,28054.189333333332,30.44366666666666 
230,12716.4,99.13951127819547 
240,6593.905707692309,70.778294117647 
250,9827.065078313253,63.52437150837997 
260,10621.31476683938,62.0317469135803 
270,10710.36501149425,62.99679450841445 
280,10676.837906735745,63.86094075260213 
290,11321.22353301887,62.22798939641108 
300,11515.134954999992,60.55624352331603 
310,11710.15870056498,62.882069981583726 
320,11524.209074999995,63.71451015434609 
330,11085.259311224489,59.3889900811543 
340,11992.062128491629,62.1839668813247 
350,11756.179881443299,63.50350946643707 
360,11750.176863636365,62.975081856540044 
370,10888.556052083333,63.722806504065026 
380,11355.043729166666,62.3143391666667 
390,12367.182324074078,61.73111319218252 
400,11392.369318627441,63.412693670886014 
410,11557.167129729736,59.68900751173712 
420,11629.092049999994,61.062090178571545 
430,11070.2226077348,64.58682022471929 
440,14007.0312739726,26.42595563139932 
450,22169.772869565215,36.5947777777778 
460,22447.203999999998,91.5363321033211 
470,6974.83823809524,72.80237943826191 
480,10218.9506846591,63.424583671811504 
490,10894.989633165838,63.1363663934425 
500,11219.752413043469,62.064062854825565 
510,11811.26004235293,61.61983836665251 
520,11478.042116022109,62.209042058165615 
530,11538.958551813463,63.594408432708825 
540,11649.103647355176,61.9204980875479 
550,10611.729288508557,62.35952854209451 
560,11111.603845959602,60.30487676056334 
570,11278.441534435255,64.2250101860055 
580,11211.19690769232,62.93074839812054 
590,11080.619200527697,62.07416862745096 
600,11788.884956962038,61.40605948889843 
610,11621.434067204307,62.09904608294928 
620,11641.580350649347,63.78845614771292 
630,10915.828710997452,62.9082560679611 
640,11418.413832579188,61.95327399922262 
650,10826.287962779154,61.63109650231772 
660,11543.974049350656,59.079135199240994 
670,14555.480458498021,27.717391999999993 
680,23142.398428571425,25.970862068965513 
690,30940.844428571425,31.030357142857138 
700,5087.040819444445,85.28530106530813 
710,8597.256941923775,65.81991218756905 
720,10752.199251937987,64.52691709844551 
730,11227.098657480321,69.20299913941483 
740,11463.20470721925,63.0057086137283 
750,11456.557624338624,65.90301600526178 
760,10862.01911000001,62.17231350210988 
770,11175.517159793804,67.02826484585161 
780,11329.401374549809,63.488097107020025 
790,11161.529585093167,64.41156933855366 
800,11505.871543071156,64.55840179878669 
810,11494.39966180373,64.68522835521945 
820,11699.576569426765,63.52343355903497 
830,11604.868779220793,63.53377674829078 
840,11216.061464010267,65.949151092612 
850,11387.308441001183,63.237933211900334 
860,11375.4492368758,64.37877484571193 
870,11340.086710389622,63.57228059895826 
880,11193.493791929388,65.11340305280505 
890,11372.412525316446,64.05894449116914 
900,12098.83937517242,45.78335091047042 
910,17817.14355118111,24.438737951807266 
920,27347.99348648648,30.14178947368421 
930,33362.000400000004,98.08122854291435 
940,7052.646701906414,81.23515377122153 
950,9800.286882264143,70.70503415623924 
960,11073.101888737203,72.88864199265223 
970,11175.251646775194,71.22477961628267 
980,11211.645717767782,71.99532063920317 
990,11432.564378797673,71.78902159214876 
1000,11301.233294670816,71.09831046025089 
1010,11257.087994495429,71.32900715161428 
1020,11411.16302423868,72.40945494039225 
1030,11310.228371054189,75.4536205097335 
1040,11286.57272854533,70.37699919452334 
