time,users,connected 
0,83,78 
10,166,165 
20,235,232 
30,291,289 
40,323,323 
50,336,339 
60,361,362 
70,362,363 
80,349,344 
90,369,368 
100,353,353 
110,376,375 
120,384,381 
130,383,384 
140,370,370 
150,377,376 
160,356,356 
170,361,361 
180,355,357 
190,358,355 
200,287,287 
210,205,206 
220,154,154 
230,102,102 
240,59,62 
250,27,30 
260,7,7 
270,2,2 
280,0,1 
290,201,191 
300,337,331 
310,451,443 
320,542,542 
330,624,619 
340,684,680 
350,705,698 
360,719,717 
370,723,728 
380,758,758 
390,769,770 
400,741,740 
410,727,722 
420,772,771 
430,811,812 
440,770,770 
450,740,739 
460,756,755 
470,764,764 
480,766,765 
490,564,578 
500,404,413 
510,301,304 
520,199,204 
530,100,104 
540,36,37 
550,18,18 
560,3,3 
570,170,157 
580,531,525 
590,813,807 
600,1033,1031 
610,1263,1260 
620,1512,1504 
630,1702,1699 
640,1917,1916 
650,2098,2099 
660,2248,2249 
670,2410,2402 
680,2526,2523 
690,2674,2675 
700,2802,2800 
710,2964,2964 
720,3123,3123 
730,3280,3278 
740,3456,3458 
750,3645,3637 
760,3826,3816 
770,3815,3825 
780,3566,3578 
790,3259,3272 
800,2878,2892 
810,2376,2406 
820,1783,1806 
830,1308,1319 
840,857,872 
850,373,385 
860,106,107 
870,26,26 
880,5,5 
890,1,1 
900,1,1 
910,694,677 
920,1381,1368 
930,2048,2040 
940,2732,2726 
950,3454,3447 
960,4215,4210 
970,4853,4850 
980,5559,5558 
990,6251,6211 
1000,6902,6870 
1010,7549,7521 
1020,8117,8096 
1030,8628,8616 
1040,8830,8836 
1050,8961,8968 
1060,9013,9030 
1070,8955,8970 
1080,8927,8918 
1090,8941,8937 
1100,8921,8929 
1110,8276,8296 
1120,7712,7719 
1130,7188,7199 
1140,6708,6729 
1150,6149,6151 
1160,5553,5564 
1170,4838,4844 
1180,4128,4133 
1190,3427,3434 
1200,2688,2691 
1210,1889,1891 
1220,1029,1033 
1230,326,328 
1240,72,72 
1250,10,11 
1260,0,0 
1270,1320,1250 
1280,2890,2828 
1290,4465,4401 
1300,5994,5947 
1310,7522,7468 
1320,9076,9029 
1330,10313,10282 
1340,11155,11135 
1350,11449,11442 
1360,11603,11601 
1370,11754,11728 
1380,11989,11983 
1390,12139,12131 
1400,12038,12044 
1410,11767,11776 
1420,11389,11403 
1430,11130,11129 
1440,11110,11117 
1450,10994,10999 
1460,11118,11117 
1470,9953,9958 
1480,8896,8897 
1490,8016,8058 
1500,7396,7426 
1510,6869,6892 
1520,6410,6437 
1530,5907,5924 
1540,5347,5371 
1550,4804,4822 
1560,4281,4307 
1570,3659,3677 
1580,2836,2870 
1590,1515,1560 
1600,534,555 
1610,110,115 
1620,22,22 
1630,8,8 
1640,1,1 
1650,1,1 
1660,1,1 
1662,0,0 
