time,tr_book_rate_service,page 
0,1,28.2 
10,7.3,53.3 
20,9.6,53.9 
30,8.4,57.1 
40,9.1,60.5 
50,10.8,58 
60,9.1,55 
70,8.9,54 
80,8.9,55.3 
90,8.6,54.3 
100,10.2,58 
110,9.5,60 
120,11.5,62.9 
130,8.8,53.1 
140,8,53.7 
150,11.1,55.3 
160,8.1,54.9 
170,9.9,58.1 
180,8.1,56.3 
190,10.2,55.9 
200,9.2,33.5 
210,2.7,3.2 
220,0.1,13.7 
230,7.7,97.7 
240,17.7,110 
250,15.8,101.4 
260,19,123.1 
270,20.4,117.4 
280,18.9,122.9 
290,22.8,136.4 
300,21.4,124.4 
310,19.9,120.2 
320,21.8,124.2 
330,19.4,109.3 
340,17.6,114.6 
350,20.5,122.1 
360,18.4,119 
370,21.3,130 
380,21.3,126.4 
390,22.4,128.5 
400,19.6,119.4 
410,19.6,120.6 
420,22.2,100.3 
430,11,17.2 
440,1.2,1.2 
450,0.1,22.1 
460,3.5,103.7 
470,13,158.1 
480,27.9,243.2 
490,41.8,222 
500,33.6,196.6 
510,36.2,229.3 
520,38.3,237.2 
530,41.1,246 
540,41.9,248.9 
550,39.6,254.3 
560,44.6,252.5 
570,38.4,234.2 
580,42,234.8 
590,36.3,229.7 
600,40.5,244.6 
610,40.9,232.3 
620,39,233.9 
630,39,243.2 
640,39.1,239 
650,37.7,217.2 
660,53.2,156.8 
670,13.6,16.2 
680,1.5,1.5 
