time,502,200,302 
470,797,44334,18526 
480,2501,45709,19248 
490,3748,47265,20230 
500,4812,48666,21045 
510,6325,50150,21844 
520,8121,51489,22671 
530,9991,52844,23525 
540,12074,54139,24332 
550,14033,55474,25208 
560,15939,56919,26083 
570,17538,58358,26965 
580,19146,59816,27857 
590,20801,61185,28632 
600,22583,62580,29510 
610,24168,64027,30408 
620,25836,65425,31218 
630,27685,66830,32025 
640,29634,68061,32804 
650,30862,69475,33747 
660,30862,70877,34977 
670,30862,71037,35250 
680,30862,71053,35280 
