time,tr_book_rate_service,page 
0,2045.909793101827,120.8364414447797 
10,2917.9261815195096,110.92161450722422 
20,5058.236903315539,102.68932629104457 
30,4732.968793872974,120.40394559609922 
40,4779.547468159802,108.22970153623945 
50,5204.78174780342,112.2049594520575 
60,5441.691118612454,104.14412647593922 
70,5708.479397959725,107.85283966775278 
80,6633.5533860043615,111.67360992146492 
90,6336.783234130787,103.59395216484926 
100,5484.756139908886,102.99819172724452 
110,5720.366075486109,131.00820215435107 
120,5618.998587529544,108.45590142743063 
130,5427.705658833855,99.35652857753725 
140,6191.5328650358415,110.51995316952465 
150,7329.7404211593375,108.95065066643036 
160,5168.694176280854,103.19987666591051 
170,5611.7746313320695,106.57768809246913 
180,5137.03195837702,111.45092513605123 
190,5613.112753227086,112.90914950436708 
200,4953.756654043406,88.02067744316916 
210,3338.989935717408,5.156738649573004 
220,0.0,157.24878686860757 
230,2397.2999238031275,256.6425905025823 
240,4020.825791862877,202.8979491947137 
250,5071.688986266427,208.67778773709898 
260,5535.368880523867,227.43126925193215 
270,6730.176693631506,268.3674431043555 
280,5929.013975921623,280.0811403510107 
290,6118.4496167532325,373.251797457018 
300,5900.510476033457,284.1986040312268 
310,6871.449280294389,273.11844816077803 
320,6287.242707526462,230.88301042822812 
330,6057.337193188228,271.1706506711328 
340,6268.109021986626,241.73296781304393 
350,5708.933902021607,238.64361280695763 
360,5387.2889496978105,503.1706729295811 
370,6018.300549530348,274.90658669746665 
380,6268.89805821532,215.06211071576826 
390,5985.043009290427,245.7174235324311 
400,6874.865293424978,243.452887816253 
410,5725.811671302804,245.81715983512757 
420,5727.876165844267,250.16272219594552 
430,5704.9575776939055,47.23690887936451 
440,5728.9627874209655,0.337424189016338 
450,0.0,265.0703678730585 
460,2760.6550498091797,838.8995689593971 
470,2876.4037424804073,1530.7272828695436 
480,4741.289736383206,1676.8101899798992 
490,5901.937185372732,1413.9369836941144 
500,6630.473177976654,1450.1560010277904 
510,6995.877898470616,1504.937035842948 
520,6551.796533364305,1525.5383594755226 
530,7381.022420513004,1616.131012912372 
540,6676.53022027671,1557.0663001384396 
550,6718.133803860849,1535.5797344440462 
560,6889.419679350922,1544.4919826852588 
570,6627.6135462981,1476.9818490960567 
580,6801.467390619046,1480.8166528192976 
590,7014.4507122707455,1616.3101684253704 
600,7150.421607437767,1485.7984705732406 
610,6801.715812651965,1463.7824991192565 
620,7061.400345805376,1489.2060085317585 
630,6328.1962551064735,1554.2703707274925 
640,6434.858949353164,1599.518595510599 
650,5915.042930495371,1526.0427291491008 
660,6381.188589307418,1133.1248322585395 
670,6397.655754423702,5.442410742113375 
680,4998.561968667354,4.184346276301712 
