time,users,connected 
0,79,77 
10,163,161 
20,243,240 
30,297,294 
40,314,313 
50,369,364 
60,391,391 
70,383,384 
80,382,375 
90,387,387 
100,385,389 
110,383,385 
120,383,382 
130,378,378 
140,382,378 
150,381,379 
160,398,400 
170,380,378 
180,384,385 
190,355,356 
200,272,273 
210,185,185 
220,129,129 
230,83,83 
240,43,44 
250,19,19 
260,7,7 
270,2,2 
280,85,73 
290,290,286 
300,401,393 
310,511,505 
320,613,611 
330,733,731 
340,760,752 
350,799,801 
360,814,815 
370,806,809 
380,791,791 
390,762,762 
400,734,732 
410,741,742 
420,743,743 
430,740,740 
440,731,730 
450,773,773 
460,788,789 
470,789,789 
480,695,695 
490,491,502 
500,344,349 
510,226,232 
520,141,143 
530,65,66 
540,24,25 
550,9,9 
560,2,2 
570,0,0 
580,326,314 
590,654,644 
600,884,877 
610,1155,1149 
620,1419,1413 
630,1642,1632 
640,1795,1793 
650,1951,1948 
660,2073,2072 
670,2174,2169 
680,2267,2265 
690,2417,2416 
700,2498,2496 
710,2628,2627 
720,2712,2714 
730,2782,2782 
740,2893,2875 
750,2962,2966 
760,3087,3089 
770,3218,3210 
780,2942,2953 
790,2610,2625 
800,2229,2246 
810,1641,1660 
820,837,855 
830,496,505 
840,212,218 
850,59,62 
860,16,17 
870,3,4 
880,0,0 
890,733,715 
900,1494,1477 
910,2231,2227 
920,2891,2878 
930,3575,3567 
940,4261,4255 
950,4952,4945 
960,5623,5620 
970,6305,6299 
980,6927,6924 
990,7512,7491 
1000,8121,8097 
1010,8705,8686 
1020,9226,9214 
1030,9791,9766 
1040,10304,10277 
1050,10818,10795 
1060,11360,11336 
1070,11841,11826 
1080,12388,12375 
1090,12140,12157 
1100,11810,11822 
1110,11444,11459 
1120,11049,11058 
1130,10643,10648 
1140,10208,10213 
1150,9679,9687 
1160,9142,9147 
1170,8617,8623 
1180,8032,8040 
1190,7318,7323 
1200,6554,6558 
1210,5689,5695 
1220,4666,4668 
1230,2772,2777 
1240,1161,1233 
1250,294,316 
1260,41,44 
1270,8,9 
1280,1,1 
1290,578,520 
1300,2100,2038 
1310,3601,3526 
1320,5214,5177 
1330,6756,6694 
1340,8274,8236 
1350,9757,9714 
1360,11296,11245 
1370,12808,12774 
1380,14282,14251 
1390,15578,15550 
1400,16622,16607 
1410,17344,17335 
1420,17667,17662 
1430,17731,17728 
1440,17666,17661 
1450,17594,17603 
1460,17574,17575 
1470,17575,17573 
1480,17521,17523 
1490,16908,16987 
1500,15639,15676 
1510,14576,14631 
1520,13677,13720 
1530,12850,12889 
1540,11979,12016 
1550,11067,11106 
1560,10051,10076 
1570,8955,8989 
1580,7958,7991 
1590,6935,6970 
1600,5861,5891 
1610,4522,4571 
1620,2487,2535 
1630,1031,1054 
1640,245,252 
1650,49,51 
1660,9,9 
1670,2,2 
1676,0,0 
