time,502,200,500,302,404 
1380,4813,865728,142062,360180,640 
1390,23519,874723,149433,363730,640 
1400,54854,883411,156797,367864,640 
1410,96718,892567,163551,372849,640 
1420,144386,901945,169770,378546,640 
1430,193115,912195,175039,385451,640 
1440,242005,922309,180302,392359,640 
1450,289623,931982,185685,399117,640 
1460,336330,942269,190682,406085,640 
1470,382498,953242,195070,413725,640 
1480,428021,964821,198945,421902,640 
1490,466938,976809,202160,430604,640 
1500,493776,989495,205199,440733,640 
1510,506426,1002767,208290,451156,640 
1520,511109,1015568,211826,461215,640 
1530,511656,1027829,215740,470969,640 
1540,511809,1039547,220008,479977,640 
1550,511852,1050761,224713,488434,640 
1560,511852,1061492,229034,496502,640 
1570,511852,1072761,232305,504599,640 
1580,511852,1083881,235030,511934,640 
1590,511852,1095407,237302,518897,640 
1600,511852,1107892,238832,526196,640 
1610,511852,1123629,239617,535396,640 
1620,511852,1143060,239727,547916,640 
1630,511852,1153410,239735,557018,640 
1640,511852,1156711,239736,560905,640 
1650,511852,1157375,239736,561797,640 
1660,511852,1157497,239736,561964,640 
1670,511852,1157510,239736,561986,640 
1676,511852,1157516,239736,561994,640 
