time,session 
10,8493.523 
20,6275.412 
30,6275.412 
40,4834.391 
50,4380.128 
60,4380.128 
70,4380.128 
80,4380.128 
90,4380.128 
100,4380.128 
110,4380.128 
120,4380.128 
130,4380.128 
140,4380.128 
150,4380.128 
160,3398.403 
170,3398.403 
180,3398.403 
190,3398.403 
200,3398.403 
210,3398.403 
220,3398.403 
230,3398.403 
240,3398.403 
250,3398.403 
260,3398.403 
270,3398.403 
280,3398.403 
290,3398.403 
300,3398.403 
310,3398.403 
320,3398.403 
330,3398.403 
340,3398.403 
350,3398.403 
360,3398.403 
370,3398.403 
380,3398.403 
390,3398.403 
400,3398.403 
410,3398.403 
420,3398.403 
430,3398.403 
440,3398.403 
450,3398.403 
460,3398.403 
470,3398.403 
480,3398.403 
490,3398.403 
500,3398.403 
510,3398.403 
520,3398.403 
530,3398.403 
540,3398.403 
550,3398.403 
560,3398.403 
570,3398.403 
580,3398.403 
590,3398.403 
600,3398.403 
610,3398.403 
620,3398.403 
630,3398.403 
640,3398.403 
650,3398.403 
660,3398.403 
670,3398.403 
680,3398.403 
690,3398.403 
700,3398.403 
710,3398.403 
720,3398.403 
730,3398.403 
740,3398.403 
750,3398.403 
760,3398.403 
770,3398.403 
780,3398.403 
790,3398.403 
800,3398.403 
810,3398.403 
820,3398.403 
830,3398.403 
840,3398.403 
850,3398.403 
860,3398.403 
870,3398.403 
880,3398.403 
890,3398.403 
900,3398.403 
910,3398.403 
920,3398.403 
930,3398.403 
940,3398.403 
950,3398.403 
960,3398.403 
970,3398.403 
980,3398.403 
990,3398.403 
1000,3398.403 
1010,3398.403 
1020,3398.403 
1030,3398.403 
1040,3398.403 
1050,3398.403 
1060,3398.403 
1070,3398.403 
1080,3398.403 
1090,3398.403 
1100,3398.403 
1110,3398.403 
1120,3398.403 
1130,3398.403 
1140,3398.403 
1150,3398.403 
1160,3398.403 
1170,3398.403 
1180,3398.403 
1190,3398.403 
1200,3398.403 
1210,3398.403 
1220,3398.403 
1230,3398.403 
1240,3398.403 
1250,3398.403 
1260,3398.403 
1270,3398.403 
1280,3398.403 
1290,3398.403 
1300,3398.403 
1310,3398.403 
1320,3398.403 
1330,3398.403 
1340,3398.403 
1350,3398.403 
1360,3398.403 
1370,3398.403 
1380,3398.403 
1390,3398.403 
1400,3398.403 
1410,3398.403 
1420,3398.403 
1430,3398.403 
1440,3398.403 
1450,3398.403 
1460,3398.403 
1470,3398.403 
1480,3398.403 
1490,3398.403 
1500,3398.403 
1510,3398.403 
1520,3398.403 
1530,3398.403 
1540,3398.403 
1550,3398.403 
1560,3398.403 
1570,3398.403 
1580,3398.403 
1590,3398.403 
1600,3398.403 
1610,3398.403 
1620,3398.403 
1630,3398.403 
1640,3398.403 
1650,3398.403 
1660,3398.403 
1670,3398.403 
1676,3398.403 
