time,load@tsung_controller@ip-172-31-11-163 
0,0.0703125 
10,0.05859375 
20,0.05859375 
30,0.05859375 
40,0.05859375 
50,0.05859375 
60,0.05859375 
70,0.05859375 
80,0.05859375 
90,0.05859375 
100,0.05859375 
110,0.05859375 
120,0.05859375 
130,0.05859375 
140,0.05859375 
150,0.05859375 
160,0.05859375 
170,0.05859375 
180,0.05859375 
190,0.05859375 
200,0.05859375 
210,0.05859375 
220,0.05859375 
230,0.05859375 
240,0.05859375 
250,0.05859375 
260,0.05859375 
270,0.05859375 
280,0.05859375 
290,0.05859375 
300,0.05859375 
310,0.05859375 
320,0.05859375 
330,0.05859375 
340,0.05859375 
350,0.05859375 
360,0.05859375 
370,0.05859375 
380,0.05859375 
390,0.05859375 
400,0.05859375 
410,0.05859375 
420,0.05859375 
430,0.05859375 
440,0.05859375 
450,0.05859375 
460,0.05859375 
470,0.05859375 
480,0.05859375 
490,0.05859375 
500,0.05859375 
510,0.05859375 
520,0.05859375 
530,0.05859375 
540,0.05859375 
550,0.05859375 
560,0.05859375 
570,0.05859375 
580,0.05859375 
590,0.05859375 
600,0.05859375 
610,0.05859375 
620,0.05859375 
630,0.05859375 
640,0.05859375 
650,0.05859375 
660,0.05859375 
670,0.05859375 
680,0.05859375 
690,0.05859375 
700,0.05859375 
710,0.05859375 
720,0.05859375 
730,0.05859375 
740,0.05859375 
750,0.05859375 
760,0.05859375 
770,0.05859375 
780,0.05859375 
790,0.05859375 
800,0.05859375 
810,0.05859375 
820,0.05859375 
830,0.05859375 
840,0.05859375 
850,0.05859375 
860,0.05859375 
870,0.05859375 
880,0.05859375 
890,0.05859375 
900,0.05859375 
910,0.05859375 
920,0.05859375 
930,0.05859375 
940,0.05859375 
950,0.05859375 
960,0.05859375 
970,0.05859375 
980,0.05859375 
990,0.05859375 
1000,0.05859375 
1010,0.05859375 
1020,0.05859375 
1030,0.05859375 
1040,0.05859375 
1050,0.05859375 
1060,0.05859375 
1070,0.05859375 
1080,0.05859375 
1090,0.05859375 
1100,0.05859375 
1110,0.05859375 
1120,0.05859375 
1130,0.05859375 
1140,0.05859375 
1150,0.05859375 
1160,0.05859375 
1170,0.05859375 
1180,0.05859375 
1190,0.05859375 
1200,0.05859375 
1210,0.05859375 
1220,0.05859375 
1230,0.05859375 
1240,0.05859375 
1250,0.05859375 
1260,0.05859375 
1270,0.05859375 
1280,0.05859375 
1290,0.05859375 
1300,0.05859375 
1310,0.05859375 
1320,0.05859375 
1330,0.05859375 
1340,0.05859375 
1350,0.05859375 
1360,0.05859375 
1370,0.05859375 
1380,0.05859375 
1390,0.05859375 
1400,0.05859375 
1410,0.05859375 
1420,0.05859375 
1430,0.05859375 
1440,0.05859375 
1450,0.05859375 
1460,0.05859375 
1470,0.05859375 
1480,0.05859375 
1490,0.05859375 
1500,0.05859375 
1510,0.05859375 
1520,0.05859375 
1530,0.05859375 
1540,0.05859375 
1550,0.05859375 
1560,0.05859375 
1570,0.05859375 
1580,0.05859375 
1590,0.05859375 
1600,0.05859375 
1610,0.05859375 
1620,0.05859375 
1630,0.05859375 
1640,0.05859375 
1650,0.05859375 
1660,0.05859375 
1670,0.05859375 
1680,0.05859375 
1690,0.05859375 
1700,0.05859375 
1710,0.05859375 
