time,tr_book_rate_service,page 
0,5134.4522,95.27775177304959 
10,8143.848287671232,69.15800750469042 
20,9979.689614583333,64.7066623376624 
30,9998.491107142856,75.07110332749552 
40,10923.218208791204,65.84650909090918 
50,10870.189583333336,68.43357241379307 
60,11168.94074725275,64.58432181818164 
70,12004.51894382022,69.21998703703699 
80,11598.91892134831,66.3089150090416 
90,12799.287325581397,67.39163904235721 
100,11658.166980392156,62.04226034482756 
110,11361.054557894731,78.10570333333338 
120,10883.315234782602,63.88821621621624 
130,11327.074897727272,58.84607721280607 
140,11853.018800000003,72.0877839851024 
150,12302.302531531528,67.01833453887878 
160,10384.325345679012,62.194663023679425 
170,10955.275171717178,67.11475387263356 
180,11493.563000000004,69.94104618117224 
190,11541.021499999997,67.20620751341676 
200,11098.400782608687,46.32287462686567 
210,16162.346074074076,18.881749999999997 
220,26261.535,127.2820291970802 
230,7321.483324675323,175.0575731832141 
240,10357.308514124294,140.6165181818183 
250,11970.514651898731,134.34372189349116 
260,11327.569110526316,159.6124971567831 
270,12246.992558823533,165.01425298126085 
280,12202.9738941799,214.80406102522417 
290,12256.305149122816,268.5110960410549 
300,12079.68324766355,179.65337861736336 
310,12550.261572864329,196.6017811980035 
320,12401.503701834858,165.27089533011278 
330,11872.658355670104,146.46691582799636 
340,12410.971960227273,141.1430183246075 
350,11500.430029268295,169.31249385749385 
360,11594.573059782611,277.73905042016816 
370,12634.576089201882,215.25597692307684 
380,12738.325525821598,154.87534335443073 
390,12610.808879464284,172.36585680933837 
400,12906.319122448991,170.69511474036855 
410,11849.55232142858,177.93296849087884 
420,11879.846355855861,135.30208175473578 
430,16463.565136363635,25.02466860465116 
440,23622.70525,20.3775 
450,43248.161,230.54419909502266 
460,9505.174371428568,1158.0086393442637 
470,16005.138946153847,1983.3723738140452 
480,19257.41814336918,1654.8124473684209 
490,20907.595842105242,1694.0027639639613 
500,21722.32311309523,1813.6695050864685 
510,21363.59415193369,1691.808896205842 
520,21071.926143603116,1563.731752529509 
530,20618.59469586375,1567.7570264227618 
540,20379.258257756566,1501.034507432702 
550,19741.591244949523,1510.336807314189 
560,20186.050105381153,1538.5481025742613 
570,20272.911270833316,1587.7578761742113 
580,20315.016709523814,1604.760810902897 
590,21036.495724517903,1701.2981719634265 
600,20883.486150617307,1547.8796414554406 
610,20762.035322738408,1634.3941708997022 
620,20282.495215384617,1618.8600500213781 
630,20494.049220512818,1564.833877055922 
640,20337.738473145757,1557.7787594142276 
650,20452.143965517214,1801.0980165745857 
660,19495.10505451127,879.4603099489801 
670,23739.18997058825,19.133259259259248 
680,32340.98173333333,23.0352 
