time,users,connected 
0,80,77 
10,92,92 
20,93,92 
30,110,109 
40,110,112 
50,111,104 
60,101,100 
70,108,108 
80,107,106 
90,117,115 
100,106,109 
110,119,119 
120,104,103 
130,92,92 
140,117,115 
150,90,91 
160,108,105 
170,103,98 
180,111,111 
190,109,110 
200,28,28 
210,1,1 
220,82,82 
230,207,208 
240,213,213 
250,238,234 
260,235,234 
270,246,239 
280,274,275 
290,274,270 
300,246,244 
310,258,259 
320,223,226 
330,211,214 
340,230,236 
350,249,249 
360,263,272 
370,272,271 
380,263,269 
390,240,244 
400,250,251 
410,272,275 
420,120,123 
430,12,13 
440,1,1 
450,146,144 
460,488,482 
470,736,736 
480,824,822 
490,774,774 
500,789,789 
510,808,814 
520,817,825 
530,831,828 
540,862,858 
550,841,842 
560,825,820 
570,811,820 
580,789,787 
590,835,834 
600,805,809 
610,798,794 
620,791,797 
630,827,830 
640,817,815 
650,681,685 
660,147,153 
670,16,17 
680,1,2 
