time,connect,request 
0,0.5657601842430933,89.55459077603861 
10,0.26850334130575615,78.79024613676468 
20,0.2770406481454055,72.71925273767518 
30,0.22651351161470493,84.12994076705394 
40,0.4051352707383022,76.51049965528051 
50,0.6312857596999952,78.17045499162344 
60,0.20308997151653072,75.09211481209489 
70,0.46936045293059714,76.84361296161494 
80,0.4874242153424534,77.25791074632701 
90,0.4216824715522385,75.34648605025056 
100,0.42545123053761663,71.67401540694175 
110,0.1847699792050091,94.965899806522 
120,0.3705061586403793,73.65659129040779 
130,0.10907966237635217,71.5095660642086 
140,0.5749236201509261,78.02945761211775 
150,0.2138960900140355,75.76311062265006 
160,0.75430020989537,72.28833812855108 
170,0.6608214727924568,76.7039523207261 
180,0.6549783381701713,78.26172072015174 
190,0.5115900263523802,76.86150572225763 
200,0.05799043024499817,62.16457676078194 
210,0,3.0056196740102017 
220,0.2623223729777235,103.94608194561484 
230,0.43039291817494196,180.82411344241012 
240,2.0072505563152303,150.60365534460374 
250,0.32755165386908597,148.66978967022578 
260,0.5044731686294486,162.23203816386038 
270,0.4438395587911702,201.34092205699136 
280,0.3482501129297097,203.56656016443165 
290,0.26378770324241796,262.9524297753643 
300,0.13929273955555868,189.8938860639725 
310,0.2721477680118918,189.82879388369332 
320,0.5548026718347211,159.9387403431647 
330,0.09149934391020548,192.9324353324677 
340,0.4384355038679391,171.1201232366723 
350,0.41084819220501406,167.7024992110346 
360,0.32119669605555173,353.28734672569584 
370,0.2542174936242857,181.24543594668765 
380,0.4179522136786061,151.32075782388856 
390,0.3615705533067649,172.11803439640423 
400,0.32713643674580517,172.52779492818544 
410,0.4997016414780601,171.36519116978286 
420,0.286127875294261,178.90489880978942 
430,0,28.819503580731364 
440,0,2.7682501369976764 
450,0.4301318026158118,173.06873317008026 
460,0.7717417414421686,536.972540143058 
470,0.41083136617255334,958.669692473537 
480,0.4056789349548373,1056.1302778539614 
490,0.529222157656742,818.9010716013187 
500,0.45682654468389344,873.0593243393712 
510,0.3522542513612014,922.904952287705 
520,0.4879902995224853,961.1712084488746 
530,0.20597791784720113,987.4217918671349 
540,0.6920058682524481,972.4974344220259 
550,0.4048770462793341,967.0104716204943 
560,0.6220645599129327,942.5237721273958 
570,0.23255005429079362,907.7807519578434 
580,0.33138495819625274,878.9987436026604 
590,0.35494130811589064,1014.1135989453646 
600,0.33435527751139654,920.5182347162792 
610,0.5268858491494729,889.8558283202326 
620,0.6888731413570751,933.8128240693444 
630,0.3755754361623283,953.6848727949648 
640,0.4119888394202803,1035.468467591348 
650,0.36592267725166183,913.0829942206091 
660,0,619.1292618982743 
670,0,3.24284856531784 
680,0,4.0498431403262565 
